Seq	DeltaMs	Endpoint		Dir	Hex	Ascii	AsciiNote
1	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
2	0	192.168.1.74:5025	RX	32 31 2E 30 38 36 35 33 31 	21.086531		
3	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
4	109	192.168.1.74:5025	RX	32 31 2E 30 39 35 32 30 35 	21.095205		
5	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
6	0	192.168.1.74:5025	RX	32 31 2E 31 30 34 38 35 38 	21.104858		
7	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
8	0	192.168.1.74:5025	RX	32 31 2E 31 30 33 30 33 33 	21.103033		
9	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
10	0	192.168.1.74:5025	RX	32 31 2E 31 30 35 31 37 37 	21.105177		
11	906	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
12	0	192.168.1.74:5025	RX	32 31 2E 30 38 39 37 32 39 	21.089729		
13	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
14	16	192.168.1.74:5025	RX	32 31 2E 30 39 33 34 31 34 	21.093414		
15	1937	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
16	94	192.168.1.74:5025	RX	32 31 2E 30 39 36 30 38 37 	21.096087		
17	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
18	0	192.168.1.74:5025	RX	32 31 2E 31 30 36 30 37 39 	21.106079		
19	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
20	0	192.168.1.74:5025	RX	32 31 2E 30 39 36 39 37 32 	21.096972		
21	2046	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
22	0	192.168.1.74:5025	RX	32 31 2E 31 30 31 30 33 36 	21.101036		
23	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
24	0	192.168.1.74:5025	RX	32 31 2E 31 30 32 31 31 32 	21.102112		
25	2032	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
26	15	192.168.1.74:5025	RX	32 31 2E 31 30 31 39 35 35 	21.101955		
27	1953	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
28	110	192.168.1.74:5025	RX	32 31 2E 30 39 39 36 39 33 	21.099693		
29	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
30	0	192.168.1.74:5025	RX	32 31 2E 30 38 36 32 35 32 	21.086252		
31	2046	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
32	0	192.168.1.74:5025	RX	32 31 2E 31 30 39 32 32 36 	21.109226		
33	1016	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
34	0	192.168.1.74:5025	RX	32 31 2E 30 38 38 31 31 38 	21.088118		
35	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
36	0	192.168.1.74:5025	RX	32 31 2E 30 39 39 38 37 38 	21.099878		
37	1031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
38	0	192.168.1.74:5025	RX	32 31 2E 30 39 37 38 31 36 	21.097816		
39	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
40	109	192.168.1.74:5025	RX	32 31 2E 30 39 36 32 37 35 	21.096275		
41	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
42	0	192.168.1.74:5025	RX	32 31 2E 30 39 35 35 38 39 	21.095589		
43	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
44	0	192.168.1.74:5025	RX	32 31 2E 30 39 38 36 35 34 	21.098654		
45	1031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
46	0	192.168.1.74:5025	RX	32 31 2E 30 38 36 33 32 31 	21.086321		
47	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
48	110	192.168.1.74:5025	RX	32 31 2E 30 39 38 33 31 30 	21.098310		
49	1937	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
50	94	192.168.1.74:5025	RX	32 31 2E 30 38 35 39 32 30 	21.085920		
51	828	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
52	0	192.168.1.74:5025	RX	32 31 2E 30 39 37 38 33 36 	21.097836		
53	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
54	0	192.168.1.74:5025	RX	32 31 2E 30 39 32 38 35 32 	21.092852		
55	1031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
56	0	192.168.1.74:5025	RX	32 31 2E 30 38 31 36 35 37 	21.081657		
57	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
58	109	192.168.1.74:5025	RX	32 31 2E 30 39 32 34 33 36 	21.092436		
59	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
