Seq	DeltaMs	Endpoint		Dir	Hex	Ascii	AsciiNote
1	0	192.168.1.74:5025	TX	3A 4F 55 54 50 55 54 31 20 4F 4E 0A 	:OUTPUT1 ON.		11:LF
2	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
3	16	192.168.1.74:5025	RX	32 32 2E 39 37 31 35 33 35 	22.971535		
4	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 53 50 4F 49 4E 54 20 32 33 2E 30 0A 	:SOURCE:CLOOP1:SPOINT 23.0.		26:LF
5	2031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
6	16	192.168.1.74:5025	RX	32 32 2E 39 37 39 31 33 39 	22.979139		
7	2031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
8	109	192.168.1.74:5025	RX	32 32 2E 39 37 32 38 31 38 	22.972818		
9	1844	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
10	0	192.168.1.74:5025	RX	32 32 2E 39 38 32 36 34 33 	22.982643		
11	1016	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
12	15	192.168.1.74:5025	RX	32 32 2E 39 36 37 38 33 31 	22.967831		
13	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 53 50 4F 49 4E 54 20 32 34 2E 30 0A 	:SOURCE:CLOOP1:SPOINT 24.0.		26:LF
14	2032	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
15	0	192.168.1.74:5025	RX	32 32 2E 39 37 37 33 30 38 	22.977308		
16	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
17	109	192.168.1.74:5025	RX	32 32 2E 39 35 30 36 39 31 	22.950691		
18	1844	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
19	93	192.168.1.74:5025	RX	32 32 2E 39 36 38 32 32 34 	22.968224		
20	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
21	0	192.168.1.74:5025	RX	32 32 2E 39 36 33 34 37 34 	22.963474		
22	16	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 53 50 4F 49 4E 54 20 32 35 2E 30 0A 	:SOURCE:CLOOP1:SPOINT 25.0.		26:LF
23	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
24	0	192.168.1.74:5025	RX	32 32 2E 39 38 36 35 33 34 	22.986534		
25	2031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
26	0	192.168.1.74:5025	RX	32 32 2E 39 38 31 36 35 31 	22.981651		
27	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
28	0	192.168.1.74:5025	RX	32 32 2E 39 36 33 32 30 33 	22.963203		
29	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
30	15	192.168.1.74:5025	RX	32 32 2E 39 36 37 30 35 31 	22.967051		
31	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 53 50 4F 49 4E 54 20 32 36 2E 30 0A 	:SOURCE:CLOOP1:SPOINT 26.0.		26:LF
32	2032	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
33	15	192.168.1.74:5025	RX	32 32 2E 39 39 36 35 37 34 	22.996574		
34	2032	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
35	109	192.168.1.74:5025	RX	32 32 2E 39 38 37 33 34 31 	22.987341		
36	1844	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
37	0	192.168.1.74:5025	RX	32 32 2E 39 38 33 33 35 36 	22.983356		
38	1031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
39	0	192.168.1.74:5025	RX	32 32 2E 39 38 32 30 35 36 	22.982056		
40	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 53 50 4F 49 4E 54 20 32 37 2E 30 0A 	:SOURCE:CLOOP1:SPOINT 27.0.		26:LF
41	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
42	0	192.168.1.74:5025	RX	32 32 2E 39 38 35 31 34 36 	22.985146		
43	2609	192.168.1.74:5025	TX	3A 4F 55 54 50 55 54 31 20 4F 46 46 0A 	:OUTPUT1 OFF.		12:LF
44	110	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.		22:LF
45	0	192.168.1.74:5025	RX	32 32 2E 39 38 35 38 32 33 	22.985823		
